id,Area(total),Troom,Nbedrooms,Nbwashrooms,Twashrooms,roof,Roof(Area),Lawn(Area),Nfloors,API,ANB,Grade,EXPECTED
37,309,6,2,2,4,NA,,75,4,92,5,D,3729$
38,337,9,4,4,5,NO,0,70,6,64,6,C,4599$
39,329,5,5,6,7,YES,72,78,7,78,3,C,4283$
40,334,5,7,6,8,YES,74,73,6,87,6,B,3945$
41,346,9,3,2,4,no,0,89,4,93,1,C,4349$
42,360,5,5,,4,YES,78,73,4,63,2,D,3594$
43,347,7,4,3,5,NO,0,75,4,69,3,D,3633$
44,319,9,7,4,6,YES,85,72,7,98,2,A,4465$
45,356,5,5,5,6,YES,98,88,5,90,6,C,4125$
46,294,5,7,6,8,YES,106,94,7,84,3,B,4279$
47,313,8,7,7,8,NO,0,105,8,97,1,A,5100$
48,349,8,7,5,7,NO,0,77,7,68,2,B,4926$
49,315,8,3,2,4,no,0,78,4,83,4,D,3822$
50,355,7,4,2,4,yes,109,74,1,90,5,C,4285$
51,295,5,5,2,4,YES,98,99,3,75,4,D,3152$
52,317,7,4,5,6,yes,113,81,6,61,2,C,4157$
53,357,6,3,2,4,NO,0,83,3,67,4,D,3852$
54,302,8,3,2,4,NA,,81,5,89,5,C,3702$
55,296,8,4,3,4,NO,0,72,5,85,1,D,4020$
56,343,6,4,3,4,NO,0,108,3,86,3,D,3935$
57,315,5,4,1,3,NA,,99,4,73,2,D,3313$
58,330,8,4,3,4,no,0,93,4,98,1,C,4276$
59,338,9,6,5,6,NO,0,98,4,91,1,B,4134$
60,290,8,4,3,4,NA,,100,1,68,4,D,3589$
61,321,9,7,4,6,no,0,94,4,93,1,B,4385$
62,333,6,5,3,5,NA,,76,6,97,3,C,4020$
63,301,9,4,2,3,yes,84,79,3,76,5,C,3933$
64,333,8,5,4,5,no,0,78,4,61,5,C,3501$
65,352,8,4,4,5,no,0,88,3,63,3,C,3665$
66,359,8,6,4,5,YES,101,83,5,98,2,B,4748$
67,355,8,6,6,7,yes,101,87,7,60,3,B,4987$
68,312,6,6,5,6,YES,100,79,5,93,2,C,4354$
69,350,6,6,5,7,NA,,71,6,74,2,C,4213$
70,337,7,5,3,5,NO,0,83,4,71,5,D,3903$
71,343,7,5,4,5,NO,0,92,3,97,6,C,3566$
72,351,8,5,6,7,YES,119,98,4,68,1,B,4658$
73,335,,2,2,3,no,0,107,4,93,3,C,3781$
74,354,9,4,2,3,NO,0,106,1,95,2,C,3909$
75,319,5,8,6,8,NO,0,85,8,82,1,B,4669$
76,296,6,5,3,4,YES,75,109,5,92,3,D,3356$
77,296,9,7,5,7,NO,0,75,6,93,3,B,4436$
78,296,7,5,3,5,NO,0,103,2,80,4,D,3643$
79,307,6,3,2,4,yes,103,80,2,73,2,D,3864$
80,311,5,3,2,4,NA,,74,2,97,1,D,3795$
81,334,6,6,5,7,NA,,81,8,60,1,B,4108$
82,306,5,3,2,4,YES,71,71,4,66,5,D,3268$
83,342,6,6,7,8,no,0,88,5,77,2,C,4161$
84,298,9,3,4,5,NO,0,103,2,80,1,C,3947$
85,324,6,5,4,6,YES,88,108,7,76,6,C,3882$
86,322,5,3,2,3,no,0,106,4,94,5,D,3053$
87,344,7,5,4,6,NO,0,82,4,70,5,C,3721$
88,329,6,4,4,5,NO,0,78,5,80,3,D,3343$
89,339,6,6,5,7,no,0,101,5,69,4,C,4281$
90,331,6,3,3,4,NO,0,76,3,67,4,D,3555$
91,318,5,3,2,4,yes,120,104,4,96,2,D,4013$
92,293,7,8,6,8,no,0,104,6,63,1,C,3863$
93,354,8,4,4,5,NA,,85,3,83,4,C,4484$
94,354,7,4,2,3,yes,74,74,3,64,1,D,3451$
95,350,6,5,5,6,NA,,97,7,64,4,C,4077$
96,330,5,6,6,7,no,0,100,5,96,4,C,3847$
97,301,5,5,4,6,no,0,97,5,86,4,D,3130$
98,342,6,5,4,5,YES,114,79,3,86,4,C,4285$
99,320,5,5,5,7,NA,,104,5,95,4,C,3687$
100,320,9,3,2,4,NO,0,101,3,94,2,C,4232$
101,360,5,4,3,5,YES,82,98,2,72,5,D,3666$
102,349,6,5,2,4,yes,119,73,5,69,6,C,3834$
103,343,5,6,5,6,YES,96,82,5,77,5,C,4070$
104,333,7,6,3,5,no,0,91,5,92,4,C,4243$
105,303,8,6,7,8,NA,,90,8,86,4,A,4992$
106,300,7,3,2,4,yes,100,107,4,71,2,D,3970$
107,353,5,7,6,7,NO,0,76,6,72,4,C,4225$
108,332,9,3,4,5,yes,112,78,4,76,5,C,4433$
109,297,6,4,5,6,YES,91,86,6,63,2,D,3397$
110,332,8,4,4,5,YES,105,99,4,97,1,C,4443$
111,326,6,5,3,5,NA,,104,3,92,6,C,3488$
112,348,7,5,5,7,no,0,100,5,78,2,C,3690$
113,351,5,3,3,5,NA,,103,4,64,3,D,3739$
114,318,7,8,6,8,NO,0,86,6,91,1,B,4858$
115,303,9,4,3,4,yes,120,98,3,65,4,C,4197$
116,330,9,7,5,7,NA,,106,8,93,3,A,5477$
117,294,5,5,6,7,yes,106,71,4,73,2,D,3465$
118,295,7,5,4,6,YES,111,110,4,84,1,C,4035$
119,357,9,2,2,3,NA,,70,3,74,5,C,4046$
120,323,6,3,2,4,yes,75,75,2,74,3,D,3764$
121,334,5,8,5,7,NA,,79,5,81,4,C,4129$
122,357,5,4,3,4,YES,113,79,1,99,5,C,3453$
123,350,6,7,6,7,YES,103,76,6,63,1,B,4057$
124,327,7,5,5,6,NO,0,85,4,91,2,C,4220$
125,319,6,8,5,7,YES,78,72,6,60,2,C,3839$
126,313,8,7,6,7,NA,,77,7,64,5,B,4454$
127,309,8,4,3,4,no,0,104,3,59,1,D,3568$
128,340,6,5,4,6,NA,,98,5,78,2,C,3810$
129,333,7,4,3,5,yes,103,103,6,66,4,C,3586$
130,292,7,4,3,5,NA,,92,5,96,2,D,3755$
131,339,7,4,5,6,no,0,94,4,67,6,C,3560$
132,291,9,5,3,,YES,102,71,5,66,5,C,4235$
133,317,5,2,1,3,NO,0,96,4,78,2,D,3149$
134,348,9,6,4,5,yes,97,106,6,59,3,B,4318$
135,360,7,5,4,6,NO,0,90,5,69,2,C,4344$
136,294,8,7,6,8,NA,,98,6,78,4,B,4742$
137,358,6,2,2,4,yes,76,85,1,77,6,D,3664$
138,324,9,3,3,4,no,0,104,1,70,5,C,3890$
139,358,8,4,3,4,yes,80,98,4,60,2,C,4077$
140,344,7,4,2,4,YES,90,104,4,75,6,C,4230$
141,324,5,3,2,4,NO,0,99,4,85,6,D,3669$
142,328,5,4,2,4,NA,,97,1,72,1,D,3667$
143,340,8,7,5,6,YES,120,78,7,65,2,B,4371$
144,332,7,4,4,5,no,0,104,4,62,2,D,4027$
145,324,8,7,6,7,no,0,86,5,85,3,B,4043$
146,321,6,4,4,5,no,0,83,5,75,3,D,3587$
147,347,7,4,3,4,NA,,102,4,93,2,C,3897$
148,324,9,3,2,4,yes,119,96,3,85,2,C,4369$
149,354,8,8,5,7,NO,0,96,8,63,5,A,5216$
150,320,7,6,6,7,NO,0,94,5,89,4,C,3913$
151,326,6,5,4,5,YES,75,99,3,59,4,D,3316$
152,337,7,7,4,6,no,0,96,6,73,1,C,4538$
153,309,9,6,5,6,no,0,84,4,78,3,C,4372$
154,297,9,8,6,8,yes,81,107,5,85,4,A,5244$
155,321,5,2,2,4,no,0,101,3,74,1,D,3650$
156,338,6,4,2,4,yes,80,100,5,99,1,C,4034$
157,321,6,4,2,3,yes,80,75,1,74,3,D,3185$
158,358,6,6,5,7,YES,120,86,8,67,2,B,4861$
159,326,7,5,2,4,YES,92,87,5,95,2,C,3794$
160,321,5,3,3,4,yes,71,90,4,62,1,D,3068$
161,318,9,4,4,5,NA,,93,4,77,3,C,4000$
162,349,7,7,5,7,NO,0,92,6,73,2,B,4333$
163,301,8,5,4,5,NO,0,96,5,91,4,C,4148$
164,326,8,2,2,4,no,0,107,1,59,6,D,3454$
165,320,6,2,3,4,NO,0,71,2,65,6,D,3361$
166,351,7,4,4,5,NA,,83,4,97,1,C,4197$
167,326,9,3,3,4,NA,,96,4,68,4,C,4138$
168,336,8,3,3,4,NA,,97,2,77,1,C,4112$
169,340,7,5,3,5,YES,107,79,2,97,2,C,3587$
170,346,7,5,4,6,NA,,102,6,74,5,C,3978$
171,290,9,6,6,7,no,0,74,5,62,1,C,3877$
172,291,5,4,4,6,NO,0,80,4,63,4,D,3553$
173,306,6,6,6,7,yes,82,107,8,78,1,B,3992$
174,355,7,3,2,3,no,0,106,1,81,4,D,3840$
175,351,9,6,3,5,yes,71,92,3,68,4,B,4744$
176,360,7,7,4,6,no,0,103,6,78,3,B,4661$
177,342,8,5,4,6,NO,0,79,7,84,2,C,4006$
178,290,7,6,4,6,NA,,72,5,73,4,C,3908$
179,301,5,5,4,6,YES,114,78,6,71,3,D,3953$
180,335,5,4,3,5,NA,,97,6,68,6,C,3584$
181,314,8,4,5,6,NA,,94,5,72,5,C,4462$
182,291,8,3,2,4,no,0,84,4,92,6,D,3714$
183,350,8,6,6,7,no,0,79,6,86,5,B,4651$
184,336,8,7,7,8,NO,0,80,7,76,1,B,4858$
185,337,6,6,6,7,YES,115,85,6,70,6,B,3876$
186,304,6,3,2,4,no,0,77,1,72,6,D,3123$
187,339,7,8,7,8,no,0,110,7,82,4,A,4784$
188,309,8,6,6,7,yes,86,85,5,98,6,B,4037$
189,296,5,5,2,4,NO,0,94,4,82,3,D,3249$
190,304,5,4,2,4,yes,91,82,2,98,5,D,3214$
191,344,5,6,6,8,yes,109,74,8,79,3,B,4938$
192,335,6,7,7,8,NO,0,93,6,65,1,C,4579$
193,318,6,4,3,5,no,0,105,5,61,6,D,3280$
194,292,9,5,4,6,NO,0,110,3,93,2,C,4118$
195,300,6,3,3,4,no,0,93,2,90,6,D,3238$
196,347,7,6,5,7,YES,111,100,7,65,6,B,4279$
197,322,9,5,4,6,yes,114,99,4,77,5,B,3994$
198,299,8,4,4,6,NO,0,96,6,76,1,C,3507$
199,316,6,7,5,6,YES,86,,6,94,2,C,4467$
200,328,6,3,3,4,no,0,85,1,89,4,D,3719$
201,339,9,4,2,4,yes,90,71,4,63,5,C,3946$
202,360,5,6,3,5,yes,119,76,5,71,4,C,4058$
203,293,6,6,6,7,NO,0,106,6,75,5,C,4279$
204,309,6,6,4,6,YES,98,97,7,75,6,C,4397$
205,318,7,4,3,5,yes,102,83,2,59,4,D,4061$
206,304,6,4,2,4,yes,120,96,3,87,3,D,3514$
207,352,7,7,6,7,YES,107,84,8,71,1,A,4551$
208,340,8,5,4,6,YES,108,91,5,69,4,C,4563$
209,308,7,4,3,4,no,0,90,2,94,3,D,3696$
210,295,6,2,1,3,YES,115,87,4,92,5,D,3587$
211,292,7,4,1,3,NO,0,85,1,76,4,D,3673$
212,358,6,4,4,6,YES,105,89,5,90,5,C,3940$
213,305,9,7,6,7,no,0,110,5,99,2,B,4334$
214,343,7,7,4,6,NO,0,105,6,59,5,C,3915$
215,308,9,6,5,6,yes,115,108,3,93,1,B,4289$
216,353,5,4,2,4,no,0,105,5,98,5,D,3600$
217,316,7,5,6,7,YES,113,107,4,62,6,C,4032$
218,355,7,5,4,6,NO,0,110,3,87,6,C,3999$
219,353,5,6,6,7,NO,0,88,7,85,3,C,3866$
220,360,9,4,2,3,YES,88,70,3,68,6,C,4094$
221,348,5,5,5,6,yes,87,97,6,59,3,C,3949$
222,323,8,3,3,4,YES,82,85,4,81,3,C,3896$
223,329,9,3,4,5,no,0,100,3,88,6,C,3794$
224,331,8,8,6,8,NA,,97,5,65,1,B,4970$
225,302,6,3,3,5,NA,,80,2,67,2,D,3552$
226,319,6,2,2,3,YES,112,84,1,84,3,D,3320$
227,342,6,7,5,7,YES,107,91,6,59,2,C,3989$
228,343,9,7,5,7,no,0,95,7,86,4,A,4782$
229,316,7,6,5,6,yes,90,102,4,78,5,C,4159$
230,297,9,5,4,6,no,0,90,5,82,4,C,3794$
231,344,8,3,2,3,NA,,107,2,59,6,C,4349$
232,352,7,2,2,3,yes,82,108,1,85,6,C,3876$
233,340,6,6,4,5,yes,90,97,3,95,3,C,3910$
234,327,7,7,5,6,NA,,71,6,87,3,B,3974$
235,340,5,6,5,6,yes,110,84,5,78,1,C,4056$
236,357,9,7,5,6,YES,74,88,7,64,4,A,4887$
237,293,8,4,3,4,YES,95,80,3,84,4,C,4204$
238,349,5,8,5,7,yes,111,96,6,74,6,B,4654$
239,323,5,6,4,6,YES,103,102,5,60,5,C,3623$
240,351,8,4,3,5,NO,0,70,5,93,2,C,3817$
241,290,7,5,2,4,NA,,100,2,84,2,D,3755$
242,359,5,2,3,4,yes,103,93,4,81,6,D,4087$
243,358,9,2,3,4,no,0,109,3,99,4,C,4569$
244,301,7,5,4,5,no,0,80,2,67,4,D,3249$
245,360,9,4,3,4,yes,78,103,4,80,3,B,4247$
246,309,8,6,4,6,NO,0,78,7,76,5,C,3946$
247,313,9,4,2,4,no,0,103,2,80,6,C,3843$
248,299,6,5,4,5,NO,0,74,2,77,6,D,3784$
249,325,6,7,6,8,NA,,72,6,95,5,B,4395$
250,300,5,4,3,4,NA,,98,3,90,2,D,3370$
251,318,5,6,5,7,NO,0,77,8,74,4,C,4203$
252,322,9,8,6,8,yes,114,96,6,87,1,A,5369$
253,325,9,4,3,5,NO,0,77,4,63,1,C,4156$
254,327,5,5,3,4,no,0,72,5,59,3,D,3455$
255,314,7,3,3,5,yes,84,101,5,59,3,D,3495$
256,329,7,4,3,5,yes,90,104,5,93,2,C,3732$
257,315,9,2,1,3,NO,0,74,2,68,2,D,3523$
258,331,8,5,4,5,YES,94,76,4,96,3,C,4059$
259,294,6,7,6,8,NA,,88,6,97,1,C,4123$
260,338,9,7,6,7,YES,118,99,4,75,2,A,4685$
261,312,6,8,7,8,yes,73,84,8,89,2,A,4691$
262,307,6,6,7,8,yes,104,87,8,79,4,B,4307$
263,317,8,7,6,7,no,0,80,4,77,6,C,3929$
264,303,5,3,3,5,YES,113,90,2,88,4,D,3883$
265,294,9,4,3,4,YES,106,103,2,71,1,C,3944$
266,323,6,3,2,3,yes,95,87,1,87,5,D,3981$
267,299,8,6,3,5,NA,,79,3,81,1,C,3750$
268,353,5,6,5,7,no,0,78,4,92,2,C,3796$
269,290,5,2,2,4,NA,,96,1,80,5,D,3725$
270,312,5,4,5,6,NA,,93,3,64,5,D,3888$
271,310,6,4,3,5,yes,101,94,5,67,2,D,3232$
272,301,8,2,1,3,NA,,88,4,85,4,C,3949$
273,355,7,4,4,5,NA,,72,4,91,3,C,4025$
274,332,5,5,4,5,no,0,82,3,75,3,D,3427$
275,303,6,6,6,8,yes,89,78,6,71,5,C,4339$
276,324,5,2,2,4,YES,80,84,4,98,4,D,3404$
277,343,9,6,4,6,YES,89,96,7,84,3,A,5043$
278,343,5,6,6,7,NA,,90,4,66,2,C,4378$
279,341,6,5,5,6,NO,0,86,5,95,4,C,3501$
280,293,7,5,4,6,no,0,109,7,82,1,C,4300$
281,295,9,3,2,4,NA,,97,3,91,6,C,3824$
282,331,7,7,6,7,yes,110,103,7,64,4,B,4385$
283,321,6,6,5,6,YES,98,73,7,67,4,C,3783$
284,328,9,6,7,8,yes,88,70,8,84,2,A,5308$
285,314,5,3,2,4,no,0,81,2,83,3,D,2882$
286,296,9,5,4,6,yes,88,103,5,91,6,B,4623$
287,336,7,5,4,5,NA,,74,3,98,2,C,4200$
288,292,7,6,6,7,no,0,81,7,74,4,C,4406$
289,336,8,6,7,8,NA,,71,8,61,4,A,4580$
290,351,7,6,6,7,NA,,96,6,84,2,B,4647$
291,292,7,4,2,3,YES,93,88,2,96,3,D,3967$
292,322,5,7,7,8,yes,89,76,5,91,3,C,3928$
293,345,8,6,4,6,NA,,108,5,61,6,B,4473$
294,356,7,6,5,7,YES,87,77,5,95,1,B,4743$
295,320,5,7,6,7,YES,116,107,7,65,1,B,4190$
296,355,5,8,7,8,no,0,95,7,90,4,B,4424$
297,356,9,7,5,7,NA,,83,5,60,1,B,5062$
298,343,6,5,3,5,yes,113,75,5,83,5,C,3764$
299,310,5,4,3,5,yes,118,104,4,61,5,D,3252$
300,335,5,6,6,7,no,0,102,7,99,5,C,4472$
301,345,9,6,5,6,YES,118,102,7,94,5,A,5385$
302,313,7,2,1,3,no,0,86,4,82,5,D,3207$
303,332,9,5,3,5,NO,0,93,5,82,2,C,3830$
304,338,8,6,5,7,NO,0,74,7,82,5,B,4340$
305,298,7,6,5,6,no,0,107,7,81,4,C,3963$
306,353,9,7,6,7,NA,,96,4,90,2,A,4535$
307,334,5,3,2,4,NO,0,83,3,60,6,D,2913$
308,346,7,4,4,5,YES,80,79,2,87,2,C,4247$
309,336,9,4,4,6,NO,0,105,6,87,5,B,4405$
310,294,5,3,3,5,YES,111,75,4,88,2,D,3060$
311,359,7,3,4,5,YES,107,109,4,63,3,C,4092$
312,352,6,6,5,6,YES,96,95,3,92,1,C,4479$
313,329,6,5,3,4,yes,80,74,4,95,6,C,3609$
314,324,8,6,4,6,yes,87,100,6,77,5,B,4748$
315,290,6,6,5,7,no,0,81,6,86,6,C,3731$
316,302,8,7,5,6,NA,,98,5,92,1,B,4176$
317,303,9,7,5,6,NA,,83,7,65,4,B,4307$
318,356,6,3,3,5,yes,111,103,2,76,6,C,4029$
319,351,9,5,5,6,YES,115,100,7,82,4,A,4910$
320,290,9,7,6,8,YES,82,110,7,74,2,A,4510$
321,359,6,6,5,6,NA,,93,3,62,1,C,3892$
322,297,8,6,5,6,no,0,106,3,99,3,C,3651$
323,336,5,6,4,6,NA,,100,6,83,1,C,3951$
324,307,9,3,3,4,NO,0,89,2,72,1,C,3466$
325,307,7,3,1,3,NA,,87,2,73,2,D,3702$
326,332,9,8,6,8,no,0,72,6,80,2,A,4960$
327,337,7,7,6,8,YES,119,83,8,86,5,A,4544$
328,355,5,5,4,6,no,0,88,6,70,1,D,4194$
329,325,9,4,3,4,NA,,74,3,97,4,C,4512$
330,308,5,4,4,6,yes,119,94,3,71,2,D,3500$
331,317,6,8,6,7,YES,84,87,6,75,3,B,4062$
332,315,5,5,5,6,no,0,94,4,73,1,D,3324$
333,295,6,7,5,7,yes,71,75,5,95,4,C,4364$
334,345,8,7,5,7,no,0,110,5,71,4,B,4342$
335,331,8,5,3,5,NO,0,87,4,70,4,C,4030$
336,355,6,4,3,4,NO,0,110,4,59,1,D,3350$
337,310,5,5,4,5,no,0,83,6,87,3,D,3414$
338,338,6,2,1,3,no,0,94,1,86,4,D,3406$
339,308,5,3,3,4,YES,117,78,3,81,3,D,3348$
340,302,8,4,5,6,no,0,95,6,83,6,C,3984$
341,300,6,7,6,7,NO,0,75,7,70,6,C,4079$
342,350,5,6,6,7,YES,86,92,6,69,2,C,4421$
343,320,7,5,5,7,yes,107,104,5,97,4,C,4117$
344,335,9,4,3,5,YES,106,77,4,80,5,C,4534$
345,311,7,5,5,6,NA,,102,6,93,5,C,4000$
346,352,8,6,6,7,NO,0,70,6,83,4,B,4729$
347,306,5,5,2,4,YES,91,98,3,73,5,D,3537$
348,319,9,4,3,5,YES,79,93,5,60,2,C,3959$
349,346,6,6,6,7,NO,0,109,6,69,6,C,3805$
350,318,9,4,2,4,yes,73,104,4,83,6,C,4244$
351,358,9,7,6,7,NA,,72,7,89,3,A,4988$
352,318,7,6,5,7,NA,,78,5,71,2,C,4042$
353,338,8,4,4,5,YES,109,88,6,89,5,B,4494$
354,300,9,4,4,5,YES,79,78,4,90,1,C,3723$
355,337,7,4,3,5,no,0,104,5,70,4,D,3624$
356,333,9,4,2,4,NA,,86,2,91,6,C,3850$
357,351,9,3,2,3,NA,,92,3,90,2,C,4094$
358,295,7,4,4,5,yes,105,71,5,73,6,D,3598$
359,310,9,5,2,4,NO,0,70,3,88,4,C,3600$
360,302,6,3,3,5,no,0,104,4,90,2,D,3219$
361,304,6,3,2,4,YES,94,92,3,91,3,D,3423$
362,338,9,5,5,6,YES,106,80,6,74,5,B,4407$
363,326,8,4,2,3,no,0,71,4,97,6,C,3934$
364,307,5,4,2,4,yes,117,72,2,96,6,D,3615$
365,359,9,2,1,3,yes,109,98,3,78,1,C,4630$
366,338,6,6,5,7,yes,97,96,5,70,4,C,3757$
367,355,5,4,4,6,NO,0,97,4,74,1,D,3418$
368,344,5,7,5,7,YES,75,83,8,68,6,B,4665$
369,316,8,5,5,7,yes,86,81,5,62,6,C,4504$
370,326,6,4,1,3,NA,,108,1,79,1,D,3647$
371,294,9,6,4,6,no,0,76,6,62,1,C,3852$
372,295,6,6,6,7,YES,98,98,7,61,2,C,4072$
373,305,8,7,5,7,NO,0,107,4,79,6,C,4539$
374,299,5,5,3,5,NO,0,88,2,87,3,D,3549$
375,331,9,3,2,3,yes,115,88,2,68,2,C,4214$
376,322,9,7,5,7,NO,0,90,5,72,1,B,4341$
377,344,5,8,6,7,yes,108,71,5,99,6,B,4528$
378,309,7,7,6,8,YES,119,108,5,72,6,B,4083$
379,333,9,4,4,5,yes,102,109,2,60,1,C,3784$
380,333,7,5,5,6,NA,,102,7,73,6,B,3957$
381,354,9,5,4,5,no,0,100,5,96,2,B,4527$
382,327,7,2,3,4,yes,120,95,3,65,2,D,3787$
383,342,7,4,3,4,yes,109,98,2,75,2,C,3745$
384,345,6,5,4,5,NA,,98,3,60,5,C,3795$
385,296,9,6,4,6,yes,100,80,5,68,3,C,4382$
386,351,8,7,6,8,NO,0,108,7,59,3,B,4358$
387,357,8,6,3,5,no,0,105,3,71,5,C,3899$
388,337,5,5,4,5,no,0,100,3,79,4,D,3676$
389,337,6,6,5,6,YES,80,99,5,70,3,C,4230$
390,321,7,2,1,3,no,0,86,4,83,4,D,3181$
391,315,8,2,2,3,YES,117,88,3,65,5,C,4200$
392,334,7,6,4,6,no,0,95,5,91,3,C,3696$
393,313,7,2,3,4,no,0,92,3,62,1,D,3760$
394,296,5,6,4,6,no,0,71,4,84,3,D,3200$
395,297,7,2,2,3,yes,119,75,4,79,1,D,3373$
396,309,6,5,5,6,YES,98,77,4,65,1,D,3996$
397,326,6,8,5,7,NA,,79,5,84,1,B,4431$
398,338,8,4,4,5,YES,84,105,5,89,6,C,4588$
399,340,7,7,6,7,NA,,96,4,60,4,B,4158$
400,345,9,4,2,3,NA,,104,2,60,5,C,4099$
401,322,6,3,2,4,yes,94,80,1,88,1,D,3277$
402,355,7,5,4,5,NO,0,109,3,67,4,C,3839$
403,311,5,4,5,6,YES,86,104,3,89,4,D,3294$
404,356,5,3,2,4,no,0,110,5,59,5,D,3877$
405,360,5,2,3,4,NA,,102,4,80,4,C,3604$
406,340,5,5,4,6,NO,0,100,6,87,6,C,3447$
407,309,8,6,5,6,NO,0,94,5,88,3,C,4186$
408,307,5,6,5,7,NO,0,108,6,99,5,C,3707$
409,353,8,3,3,4,NA,,103,1,73,4,C,4388$
410,341,8,5,3,5,yes,79,93,4,63,2,C,4112$
411,351,9,4,2,4,yes,111,97,4,97,1,B,4228$
412,337,7,8,6,7,NO,0,92,6,90,3,B,4855$
413,303,8,6,6,7,NA,,70,7,90,1,B,4172$
414,353,8,6,3,5,no,0,89,5,70,6,C,4105$
415,330,7,5,4,5,NA,,105,3,70,1,C,3579$
416,296,7,6,5,6,NA,,80,7,85,6,C,4306$
417,311,7,7,6,8,YES,83,106,5,88,1,B,4525$
418,357,6,4,1,3,YES,102,76,4,99,6,C,3824$
419,301,7,2,2,3,YES,77,93,1,95,2,D,3815$
420,358,7,5,3,5,no,0,109,5,84,1,C,3920$
421,306,7,7,5,6,NA,,105,6,83,2,B,4301$
422,296,8,6,6,8,yes,91,102,5,80,6,B,4141$
423,290,7,5,3,4,NO,0,102,3,72,4,D,3471$
424,291,5,4,4,6,no,0,94,6,91,5,D,3309$
425,327,7,4,2,4,YES,119,87,3,87,5,C,3685$
426,329,8,5,5,6,NO,0,71,5,64,4,C,4309$
427,291,5,2,2,4,no,0,82,1,94,5,E,3538$
428,295,9,5,3,4,YES,111,86,2,66,2,C,4063$
429,347,9,5,5,6,no,0,106,6,65,5,B,4519$
430,300,5,4,2,3,yes,117,102,4,63,3,D,3240$
431,335,9,7,7,8,no,0,77,8,64,3,A,5395$
432,307,5,3,2,4,NA,,86,4,88,3,D,3536$
433,346,8,6,5,6,no,0,73,5,97,6,B,4307$
434,298,8,6,4,5,yes,71,102,3,76,6,C,3679$
435,316,9,6,6,8,yes,77,87,7,66,6,B,4907$
436,301,5,4,2,4,no,0,99,3,85,4,D,3658$
437,344,8,6,7,8,no,0,102,7,90,5,B,5167$
438,343,7,7,6,7,no,0,104,7,89,6,B,4447$
439,294,5,7,6,7,NO,0,75,5,81,3,D,3892$
440,340,6,4,5,6,NO,0,110,4,94,3,D,3713$
441,328,7,3,2,4,no,0,85,4,63,1,D,3545$
442,322,8,4,3,4,NO,0,88,1,60,2,D,3572$
443,339,7,3,4,5,yes,87,92,4,86,1,C,4182$
444,318,8,5,3,4,no,0,105,4,67,3,C,3610$
445,328,8,5,4,5,yes,120,89,5,60,5,C,3802$
446,309,8,6,6,7,NO,0,103,6,60,1,C,3949$
447,352,6,7,4,6,no,0,110,6,61,1,C,3677$
448,315,9,3,4,5,YES,72,77,5,97,3,C,4401$
449,316,6,4,2,4,no,0,81,2,65,3,D,3137$
450,296,5,8,6,8,yes,115,85,8,67,5,B,4517$
451,337,7,7,6,7,no,0,72,5,70,6,C,4478$
452,341,7,5,4,6,NO,0,76,6,61,3,C,3559$
